Food_ID,Stall Name,Name of Food,Ingredients,Health Benefits,Serving_Size,Price,Rating,Nutritional,General_Rating,food_time,dietary_restricitions,allergen_avoidance,nutritional_preference,Macronutrients,food_type,stall_id,calories,url
1,GO...GO HEALTHY,Lemon,"Fresh Lemon, Water, Sugar, Ice","High in Vitamin C, relieves indigestion such as bloating and heart burn, Hydration, Skin Health, Weight Loss, Detoxification",Medium,25,95,92,94,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,95,lemon.jpg
2,GO...GO HEALTHY,Lemon,"Fresh Lemon, Water, Sugar, Ice","High in Vitamin C, relieves indigestion such as bloating and heart burn, Hydration, Skin Health, Weight Loss, Detoxification",Large,35,95,92,94,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,100,lemon.jpg
3,GO...GO HEALTHY,Cucumber,"Cucumber, Water, Sugar, Ice","Rich in nutrients, Vitamins K,C and B, Potassium, Magnesium, Low calories, High Fiber, Digestive Healthe, Bone Health ",Medium,25,90,94,92,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,75,cucumber.jpg
4,GO...GO HEALTHY,Cucumber,"Cucumber, Water, Sugar, Ice","Rich in nutrients, Vitamins K,C and B, Potassium, Magnesium, Low calories, High Fiber, Digestive Healthe, Bone Health ",Large,35,90,94,92,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,80,cucumber.jpg
5,GO...GO HEALTHY,Melon,"Fresh Melon, Water, Sugar, Ice, Milk","Hydration, Vitamins A, C, B-Complex, Potassium, Magnesium, High water content, low calorie, Heart Health",Medium,35,92,92,92,Drinks,"Vegetarian,Vegan,Pescatarian,Halal","Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,80,melon.jpg
6,GO...GO HEALTHY,Melon,"Fresh Melon, Water, Sugar, Ice, Milk","Hydration, Vitamins A, C, B-Complex, Potassium, Magnesium, High water content, low calorie, Heart Health",Large,45,92,92,92,Drinks,"Vegetarian,Vegan,Pescatarian,Kosher","Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,88,melon.jpg
7,GO...GO HEALTHY,Orange,"Orange,Water,Sugar, Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation",Medium,25,95,92,94,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,89,orange.jpg
8,GO...GO HEALTHY,Orange,"Orange,Water,Sugar, Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation",Large,35,95,92,94,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,93,orange.jpg
9,GO...GO HEALTHY,Watermelon,"Watermelon,Water,Sugar,Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation",Medium,25,90,91,91,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,75,watermelon.jpg
10,GO...GO HEALTHY,Watermelon,"Watermelon,Water,Sugar,Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation",Large,35,90,91,91,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,83,watermelon.jpg
11,GO...GO HEALTHY,Grapes,"Grapes,Water,Sugar,Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation, reduces inflammation in the body, arthritis, Energy Boost",Medium,25,92,88,90,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,75,grapes.jpg
12,GO...GO HEALTHY,Grapes,"Grapes,Water,Sugar,Ice","Rich in VItamin C, Antioxidants, Heart Health, Skin Health. Hydration, Prevents constipation, reduces inflammation in the body, arthritis, Energy Boost",Large,35,92,88,90,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Fat,Low-Sodium",Carbohydrates,drinks,12,83,grapes.jpg
13,Fudbook kitchenette,Sisig Rice,"pork belly, onions, ginger, salt, bay leaves, mayonnaise, vinegar, black pepper, sugar, liver spread, calamansi, seasoning,rice","protein, vitamin B12, vitamin B6, zinc, immune booster",One Serving,70,85,88,87,"Breakfast,Lunch,Dinner","Pescatarian,Halal,Kosher",Seafood-Free,"High-Protein,Low-Sugar","Calories,Carbohydrates,Protein,Fat",rice_meal,13,240,sisig.jpg
14,Fudbook kitchenette,Siomai Rice,"ground pork, siomai wrapper, sesame oil, soy sauce, rice","vitamin B12, vitamin B6, Iron, Zinc,Fiber, Satiety",One Serving,35,85,83,84,"Breakfast,Lunch,Dinner","Pescatarian,Halal",Nut-Free,"High-Protein,Low-Sugar","Calories,Carbohydrates,Protein,Fat",rice_meal,13,180,siomai.jpg
15,Fudbook kitchenette,Fries ,"Cheese Flavor, potato",Mood-enhancing,Medium,30,80,82,81,Merienda,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","Low-Fat,Low-Sugar,Low-Sodium","Calories,Carbohydrates,Protein,Fat",snack,13,160,fries.jpg
16,Fudbook kitchenette,Burger,"Beef patty, ketchup,mayonnaise,bread","Protein, Iron, Zinc, Mood Booster, Satiety",Buy 1 Take 1,30,90,80,85,"Breakfast,Lunch,Dinner","Vegetarian,Vegan,Pescatarian,Halal,Kosher","Nut-Free,Seafood-Free","High-Protein,Low-Sugar","Calories,Carbohydrates,Protein,Fat",sandwich,13,260,burger.jpg
17,Fudbook kitchenette,Mango Juice,"Mango Flavored Powder, Water, Sugar",Anti-oxidant,Medium,20,80,89,85,Drinks,"Vegetarian,Vegan,Pescatarian,Halal,Kosher","Gluten-Free,Dairy-Free,Nut-Free,Soy-Free,Seafood-Free","Low-Carb,Low-Sodium",Calories,drinks,13,90,mango.jpg
